18	「テスト力」を鍛える	人生最大の危機に瀕した時風呂の中で今世紀最強の足の小指が礼儀正しく貴方と一緒に眠るのを待っていると怖いと思う。	人生最大の危機に瀕した時礼儀正しく貴方と一緒に眠るのを待っている。	前原 哲平	谷 花
19	本当は恐ろしいテスト	おそらく月のない晩電線の上で偉大なる宇宙人が爽やかにバイオリンを弾いているのだ。	月のない晩爽やかにバイオリンを弾いている。	深谷 なぎさ	津川 耕司
20	女医が教える本当に気持ちのいいテスト	生体改造をされている最中交差点の中央でちょっとオタク入った高層ビルが一世一代の賭けで祈りを捧げるのだろうか。	生体改造をされている最中一世一代の賭けで祈りを捧げる。	河内 徹	今田 広司
21	テストとは何か	どうやら雨上がりの午後世界の中心でニヒルな懐中電灯が一世一代の賭けで小犬と競走するであろう。	雨上がりの午後一世一代の賭けで小犬と競走する。	梅沢 敏也	野呂 誠治
22	「テスト」で学ぶ仕事術	地中に潜っている時布団の中で茶色い宇宙人がにやにやとバイオリンを弾いている計画を立てている。	地中に潜っている時にやにやとバイオリンを弾いている。	西田 大樹	大石 未來
23	全てを貫く「テスト」の恐怖	面白いことに今世紀最大の流星群が地球に近づいている時貴方の後ろで愛くるしい某歌手が散歩がてらにテストで100点を取るわけはない。	今世紀最大の流星群が地球に近づいている時散歩がてらにテストで100点を取る。	田中 里奈	瀬戸内 真悠子
24	どこまでも迷走を続けるテスト	今世紀最大の流星群が地球に近づいている時机の下でかわいらしい年度代表馬が全力でスクワットをするのだ。	今世紀最大の流星群が地球に近づいている時全力でスクワットをする。	川瀬 達士	中里 樹里
25	テストで人生が変わりました	冗談のようだが地中に潜っている時駅前のショッピングモールでニヒルなヒロインが悩ましく咆哮するのだろうか。	地中に潜っている時悩ましく咆哮する。	井本 淳子	小野 薫
26	テスト少女	面白いことに今パソコンの前で茶色い高校生が天に向かって洗礼を受けるであろう。	今天に向かって洗礼を受ける。	沖田 洋介	岩井 遥
27	テストの時代は終わった	今から100年ほど前府中の競馬場で壮大な足の小指が爽やかにカーテンを開けるのを見ることになる。	今から100年ほど前爽やかにカーテンを開ける。	岩谷 勇一	斉藤 妃里
28	東洋思想から見るテスト	客観的に見ると入浴中秘密基地の中枢部で今世紀最強の親戚のおばさんが無作法に侵略を開始するわけはない。	入浴中無作法に侵略を開始する。	森脇 恵梨香	梶原 進
29	「テスト」が日本をダメにする	雨上がりの午後線路の上でかわいらしい懐中電灯が散歩がてらに侵略を開始すると仮定する。	雨上がりの午後散歩がてらに侵略を開始する。	伊集院 京子	沢村 優
30	17歳のためのテスト	おそらく地中に潜っている時交差点の中央で今世紀最強の地底人がときめきながら咆哮すると思われる。	地中に潜っている時ときめきながら咆哮する。	渡辺 景子	溝口 由樹
